Latitude,Longitude,CD1  (/km^2),CD2  (/km^2),CD3  (/km^2),CD4  (/km^2),WD1 (g/km^2),WD2 (g/km^2),WD3 (g/km^2),WD4 (g/km^2),Sea State,Source,Year,Month,Log_CD1  (/km^2),Log_CD2  (/km^2),Log_CD3  (/km^2),Log_CD4  (/km^2),Log_WD1 (g/km^2),Log_WD2 (g/km^2),Log_WD3 (g/km^2),Log_WD4 (g/km^2),Sea State Normalized,Source_Encoded,Season_Autumn,Season_Spring,Season_Summer,Season_Winter
-20.8268,-28.2509,0.0,0.0,0.0,0.3,0.04,10.95,0.0,9.75,4.0,M. Eriksen,2010,2,0.0,0.0,0.0,0.262364264467491,0.039220713153281295,2.4807312783775197,0.0,2.3749057545736716,0.5,5,False,False,False,True
-19.7983,-27.3385,0.0,0.0,0.0,0.3,0.31,18.94,0.0,9.75,3.0,M. Eriksen,2010,2,0.0,0.0,0.0,0.262364264467491,0.27002713721306015,2.9927277645336923,0.0,2.3749057545736716,0.375,5,False,False,False,True
-18.615,-26.1638,194.67,584.01,0.0,0.3,0.02,1.95,0.0,9.75,3.0,M. Eriksen,2010,3,5.276429566790007,6.371628941102849,0.0,0.262364264467491,0.019802627296179712,1.0818051703517284,0.0,2.3749057545736716,0.375,5,False,True,False,False
-17.887,-25.086,0.0,0.0,0.0,0.3,1.09,0.0,0.0,9.75,3.0,M. Eriksen,2010,3,0.0,0.0,0.0,0.262364264467491,0.7371640659767197,0.0,0.0,2.3749057545736716,0.375,5,False,True,False,False
-16.9837,-23.7325,0.0,0.0,0.0,0.3,0.16,2.26,0.0,9.75,4.0,M. Eriksen,2010,4,0.0,0.0,0.0,0.262364264467491,0.1484200051182733,1.1817271953786161,0.0,2.3749057545736716,0.5,5,False,True,False,False
-16.2435,-22.5333,0.0,503.15,335.43,0.3,0.07,3.22,4.51,9.75,4.0,M. Eriksen,2010,4,0.0,6.222873842839224,5.818390103670691,0.262364264467491,0.06765864847381481,1.4398351280479207,1.706564623164823,2.3749057545736716,0.5,5,False,True,False,False
-13.9923,-20.739,0.0,0.0,320.64,0.3,0.0,20.2,43.61,9.75,4.0,M. Eriksen,2010,5,0.0,0.0,5.773432907679949,0.262364264467491,0.0,3.054001181677967,3.797958049140173,2.3749057545736716,0.5,5,False,True,False,False
-26.4261,-41.0363,0.0,0.0,845.81,0.3,0.0,5.47,1.41,9.75,4.0,M. Eriksen,2010,10,0.0,0.0,6.741476348354894,0.262364264467491,0.0,1.8671761085128091,0.8796267475025635,2.3749057545736716,0.5,5,True,False,False,False
-26.3881,-39.9167,363.39,0.0,2.5,0.3,0.03,29.0,10.97,9.75,4.0,M. Eriksen,2010,11,5.898224722638234,0.0,1.252762968495368,0.262364264467491,0.0295588022415444,3.4011973816621555,2.482403519569882,2.3749057545736716,0.5,5,True,False,False,False
-26.1893,-38.7646,503.15,0.0,503.15,0.3,0.25,11.22,25.84,9.75,4.0,M. Eriksen,2010,11,6.222873842839224,0.0,6.222873842839224,0.262364264467491,0.22314355131420976,2.503073953743449,3.289893312103481,2.3749057545736716,0.5,5,True,False,False,False
